level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	47	1	0	0	2628	2731	38	34	-1	
4	1	47	1	1	0	2628	2731	38	34	-1	
5	1	47	1	1	1	2628	2731	38	34	92.396225	81
2	1	48	0	0	0	1738	2740	141	94	-1	
3	1	48	1	0	0	1738	2740	141	94	-1	
4	1	48	1	1	0	1738	2740	141	94	-1	
5	1	48	1	1	1	1738	2740	141	94	0.000000	66
2	1	49	0	0	0	1660	2844	322	61	-1	
3	1	49	1	0	0	1660	2844	322	61	-1	
4	1	49	1	1	0	1660	2844	322	61	-1	
5	1	49	1	1	1	1660	2844	322	61	0.000000	1
2	1	50	0	0	0	491	2968	37	26	-1	
3	1	50	1	0	0	491	2968	37	26	-1	
4	1	50	1	1	0	491	2968	37	26	-1	
5	1	50	1	1	1	491	2968	37	26	0.000000	5
2	1	51	0	0	0	1075	2932	181	40	-1	
3	1	51	1	0	0	1075	2932	181	40	-1	
4	1	51	1	1	0	1075	2932	181	40	-1	
5	1	51	1	1	1	1075	2932	181	40	0.000000	9098
2	1	52	0	0	0	719	2973	41	33	-1	
3	1	52	1	0	0	719	2973	41	33	-1	
4	1	52	1	1	0	719	2973	41	33	-1	
5	1	52	1	1	1	719	2973	41	33	92.262360	10
2	1	53	0	0	0	813	2980	161	45	-1	
3	1	53	1	0	0	813	2980	161	45	-1	
4	1	53	1	1	0	813	2980	161	45	-1	
5	1	53	1	1	1	813	2980	161	45	0.000000	101402
2	1	54	0	0	0	1198	3011	67	34	-1	
3	1	54	1	0	0	1198	3011	67	34	-1	
4	1	54	1	1	0	1198	3011	67	34	-1	
5	1	54	1	1	1	1198	3011	67	34	96.889900	104
2	1	55	0	0	0	1697	2989	67	32	-1	
3	1	55	1	0	0	1697	2989	67	32	-1	
4	1	55	1	1	0	1697	2989	67	32	-1	
5	1	55	1	1	1	1697	2989	67	32	96.723236	103
2	1	56	0	0	0	1552	3087	66	34	-1	
3	1	56	1	0	0	1552	3087	66	34	-1	
4	1	56	1	1	0	1552	3087	66	34	-1	
5	1	56	1	1	1	1552	3087	66	34	96.244957	106
2	1	57	0	0	0	361	3121	136	70	-1	
3	1	57	1	0	0	361	3121	136	70	-1	
4	1	57	1	1	0	361	3121	136	70	-1	
5	1	57	1	1	1	361	3121	136	70	0.000000	09
2	1	58	0	0	0	1153	3206	66	33	-1	
3	1	58	1	0	0	1153	3206	66	33	-1	
4	1	58	1	1	0	1153	3206	66	33	-1	
5	1	58	1	1	1	1153	3206	66	33	96.724121	108
2	1	59	0	0	0	267	3311	62	45	-1	
3	1	59	1	0	0	267	3311	62	45	-1	
4	1	59	1	1	0	267	3311	62	45	-1	
5	1	59	1	1	1	267	3311	62	45	96.875565	116
2	1	60	0	0	0	779	3321	64	34	-1	
3	1	60	1	0	0	779	3321	64	34	-1	
4	1	60	1	1	0	779	3321	64	34	-1	
5	1	60	1	1	1	779	3321	64	34	95.821823	115
2	1	61	0	0	0	915	3279	64	34	-1	
3	1	61	1	0	0	915	3279	64	34	-1	
4	1	61	1	1	0	915	3279	64	34	-1	
5	1	61	1	1	1	915	3279	64	34	91.602791	112
